100403	OBRA SOCIAL DEL PERSONAL SUPERIOR Y PROFESIONAL DE EMPRESAS AEROCOMERCIALES                                                                                                                             	OSPEA             	INDEPENDENCIA 1111 - PISO 2                       	1099	CAPITAL FEDERAL               	0800-999-8907       	Propia actividad    	ospea@upsa-ospea.com.ar	www.upsa-ospea.com.ar
100502	OBRA SOCIAL DEL PERSONAL AERONAUTICO                                                                                                                                                                    	OSPA              	ANCHORENA 1266                                    	1425	CAPITAL FEDERAL               	                    	Propia actividad    	ospa@ospa.com.ar	www.ospa.com.ar
100700	OBRA SOCIAL DEL PERSONAL TECNICO AERONAUTICO                                                                                                                                                            	OSPTA             	D ONOFRIO 158                                     	1702	BUENOS AIRES                  	0800--666-2096      	Propia actividad    	aviones@aviones.com	www.aviones.com
100809	OBRA SOCIAL DE AERONAVEGANTES                                                                                                                                                                           	OSA               	BARTOLOME MITRE 1902 - PB                         	1039	CAPITAL FEDERAL               	0800 9999 672       	Propia actividad    	osa@aeronavegantes.com	www.osa-aeronavegantes.com
102300	OBRA SOCIAL DEL PERSONAL DEL AZUCAR DEL INGENIO SAN MARTIN                                                                                                                                              	OSPA              	ISLAS MALVINAS S/N - BARRIO PATRON COSTAS         	4533	SALTA                         	                    	Propia actividad    	ospasalta102300@gmail.com
103907	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CAUCHO DE SANTA FE                                                                                                                                         	OSPIC SANTA FE    	ITURRASPE 2458                                    	3034	SANTA FE                      	                    	Cualquier actividad 	oscauchostafe@yahoo.com.ar
104108	OBRA SOCIAL DE CERAMISTAS                                                                                                                                                                               	OSCE              	DOBLAS 629                                        	1424	CAPITAL FEDERAL               	                    	Propia actividad
104207	OBRA SOCIAL DEL PERSONAL DE LA CERAMICA, SANITARIOS, PORCELANA DE MESA Y AFINES                                                                                                                         	OSPCSPMYA         	AV. HIIPOLITO IRIGOYEN 1255                       	1870	BUENOS AIRES                  	                    	Propia actividad    	ospecesa@speedy.com.ar	www.ospecesa.com.ar
105002	OBRA SOCIAL DE CONDUCTORES NAVALES                                                                                                                                                                      	OSCONARA          	PINZON 281                                        	1161	CAPITAL FEDERAL               	                    	Propia actividad    	info@siconara.com.ar	www.siconara.org.ar
105507	OBRA SOCIAL DE LOS CORTADORES DE LA INDUMENTARIA                                                                                                                                                        	OSUCI             	SANTIAGO DEL ESTERO 576                           	1075	CAPITAL FEDERAL               	                    	Propia actividad    	obrasocial@uci.org.ar
105705	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL CHACINADO Y AFINES                                                                                                                                         	OSPICHA           	AVDA. SAN JUAN 4229 PLANTA BAJA                   	1233	CAPITAL FEDERAL               	                    	Propia actividad
105804	OBRA SOCIAL DE CHOFERES DE CAMIONES                                                                                                                                                                     	OSCHOCA           	SAN JOSE 1775/81                                  	1136	CAPITAL FEDERAL               	0800-777-0020       	Propia actividad    	info@camioneros-ba.org.ar	www.camioneros-ba.org.ar
106906	OBRA SOCIAL DEL PERSONAL DE ESCRIBANIAS DE LA PROVINCIA DE BUENOS AIRES                                                                                                                                 	OSPEPBA           	CALLE 45  Nº 509                                  	1900	BUENOS AIRES                  	0800-333-1706       	Propia actividad    	social@empleadosescribania.org.ar	www.empleadosescribania.org.ar
108803	OBRA SOCIAL  DE LA UNION  DE TRABAJADORES  DEL TURISMO, HOTELEROS Y GASTRONOMICOS DE LA REPUBLICA  ARGENTINA                                                                                            	OSUTHGRA          	AVDA. DE MAYO 930                                 	1084	CAPITAL FEDERAL               	0800-222-8844       	Propia actividad    	info@uthgra.org.ar	www.uthgra.org.ar
109202	OBRA SOCIAL DE GUINCHEROS Y MAQUINISTAS DE GRUAS MOVILES                                                                                                                                                	                  	CORONEL SALVADORES 1638                           	1296	CAPITAL FEDERAL               	                    	Propia actividad    	tesoreria@guincheros.org.ar	www.osocialguincheros.com
109400	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL HIELO Y MERCADOS PARTICULARES                                                                                                                              	OSPIHMP           	COLOMBRES 1573   (SINDICATO)                      	1238	CAPITAL FEDERAL               	0800-666-7744       	Propia actividad    	auditoria@ospihmp.org.ar	www.stihmpra.hypermart.net
110008	OBRA SOCIAL DEL PERSONAL DE JABONEROS                                                                                                                                                                   	OSPEJ             	CHACABUCO 271 8VO UF 17                           	1069	CAPITAL FEDERAL               	                    	Propia actividad    	notificaciones@osjaboneros.com.ar
110206	OBRA SOCIAL DEL PERSONAL DEL JOCKEY CLUB DE ROSARIO                                                                                                                                                     	                  	OVIDIO LAGOS 1571                                 	2000	SANTA FE                      	                    	Propia actividad
110503	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA LECHERA                                                                                                                                                        	OSPIL             	AVDA. HIPOLITO YRIGOYEN 4054                      	1208	CAPITAL FEDERAL               	                    	Propia actividad    	obrasocial@atilra.org.ar
110701	OBRA SOCIAL DE LA FEDERACION ARGENTINA DE TRABAJADORES DE LUZ Y FUERZA                                                                                                                                  	OSFATLYF          	LIMA 163 4° PISO                                  	1073	CAPITAL FEDERAL               	                    	Propia actividad    	bettinottir@osfatlyf_salud.com.ar	www.osfatlyf-salud.com.ar
110800	OBRA SOCIAL DE LOS TRABAJADORES DE LAS EMPRESAS DE ELECTRICIDAD                                                                                                                                         	OSTEE             	HUMBERTO 1º   434                                 	1103	CAPITAL FEDERAL               	0800-999-1534       	Propia actividad    	obrasocial@osteeluzmedica.com.ar	www.osteeluzmedica.com.ar
110909	OBRA SOCIAL DEL PERSONAL DE LUZ Y FUERZA DE CORDOBA                                                                                                                                                     	OSLYF             	AVDA. GRAL PAZ 282 PISO 1                         	5000	CORDOBA                       	0800-333-3202       	Propia actividad    		luzfuerzacbasalud.com.ar
111407	OBRA SOCIAL DE CAPITANES DE ULTRAMAR Y OFICIALES DE LA MARINA MERCANTE                                                                                                                                  	OSCOMM            	AVENIDA INDEPEDENCIA 611                          	1099	CAPITAL FEDERAL               	0800-6667266        	Propia actividad    	secretaria@capitanes.org.ar
111902	OBRA SOCIAL DEL SINDICATO DE MECANICOS Y AFINES DEL TRANSPORTE AUTOMOTOR                                                                                                                                	OSMATA            	AVDA. BELGRANO 665 PISO 8                         	1092	CAPITAL FEDERAL               	4-340-7412          	Propia actividad    		www.smata.com.ar
112004	OBRA SOCIAL DEL PERSONAL SUPERIOR MERCEDES BENZ ARGENTINA                                                                                                                                               	OSPS MERCEDES     	OLIDEN 46                                         	1408	CAPITAL FEDERAL               	                    	Propia actividad    	obrasocial@apsmba.com.ar	www.ospsmba.com.ar
112103	OBRA SOCIAL DE LA UNION OBRERA METALURGICA DE LA REPUBLICA ARGENTINA                                                                                                                                    	OSUOMRA           	ALSINA 477/485 -                                  	1087	CAPITAL FEDERAL               	                    	Propia actividad    	of.afiliaciones@uom.org.ar	www.osuomra.org.ar
112707	OBRA SOCIAL DEL PERSONAL MOSAISTA                                                                                                                                                                       	OSPM              	QUIRNO 89                                         	1406	CAPITAL FEDERAL               	                    	Propia actividad    	mosaistas@hotmail.com	RESOLUCION 147/12 (VER OBSERVACIONES)
114208	OBRA SOCIAL DE LA INDUSTRIA DE PASTAS ALIMENTICIAS                                                                                                                                                      	OSIPA             	AVDA.. BELGRANO 4280                              	1210	CAPITAL FEDERAL               	                    	Propia actividad    	stipa@arnet.com.ar
115706	OBRA SOCIAL PARA PILOTOS DE LINEAS AEREAS COMERCIALES Y REGULARES                                                                                                                                       	OSPLA             	LEZICA 4047                                       	1202	CAPITAL FEDERAL               	                    	Propia actividad    	ospla@ospla.org.ar	www.ospla.org.ar
116105	OBRA SOCIAL DE CAPATACES  ESTIBADORES PORTUARIOS                                                                                                                                                        	OSCEP             	PINZON 1012/1016                                  	1161	CAPITAL FEDERAL               	                    	Cualquier actividad 	oscep@fideisalud.com.ar
118002	OBRA SOCIAL DE EMPLEADOS DE PRENSA DE CORDOBA                                                                                                                                                           	OSEPC             	OBISPO TREJO 365                                  	5000	CORDOBA                       	351-4229214         	Propia actividad    	prensalud@osepc.com.ar	www.prensalud.com.ar
118200	OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE LA REPUBLICA ARGENTINA                                                                                                                                   	OSAPM             	AVELLANEDA 2144                                   	1406	CAPITAL FEDERAL               	                    	Propia actividad    	obra_social@apm.org.ar	www.apm.org.ar
118408	OBRA SOCIAL DE AGENTES DE PROPAGANDA MEDICA DE ENTRE RIOS                                                                                                                                               	OSAPMER           	CATAMARCA 451                                     	3100	ENTRE RIOS                    	                    	Propia actividad    	apmentrario@infovia.com.ar
119203	OBRA SOCIAL DE RELOJEROS Y JOYEROS                                                                                                                                                                      	OSRJA             	VALENTIN GOMEZ 3828                               	1191	CAPITAL FEDERAL               	0800-333-3420       	Cualquier actividad 	facturacion5@osrja.org.ar"	www.osrja..org.ar
119302	OBRA SOCIAL DEL PERSONAL RURAL Y ESTIBADORES DE LA REPUBLICA ARGENTINA                                                                                                                                  	OSPRERA           	RECONQUISTA 630                                   	1003	CAPITAL FEDERAL               	0800-77-78725       	Propia actividad    		www.osprera.com.ar
119500	OBRA SOCIAL DEL PERSONAL DE LA SANIDAD ARGENTINA                                                                                                                                                        	OSPSA             	DEAN FUNES 1242                                   	1244	CAPITAL FEDERAL               	                    	Propia actividad    	info@sanidad.org.ar	www.sanidad.org.ar
119906	OBRA SOCIAL DE SERENOS DE BUQUES                                                                                                                                                                        	                  	BERNARDO DE IRIGOYEN 972/4 PISO 9 OF. 45          	1072	CAPITAL FEDERAL               	0800-345-7332       	Propia actividad    	ossdeb@fideisalud.com.ar	www.fideisalud.com.ar
120504	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA  DEL TABACO                                                                                                                                                    	OSPIT             	ESTEBAN BONORINO 281                              	1406	CAPITAL FEDERAL               	                    	Propia actividad    	ospitabaco@infovia.com.ar
120603	OBRA SOCIAL DE EMPLEADOS DEL TABACO DE LA REPUBLICA ARGENTINA                                                                                                                                           	OSETRA            	BOLIVIA 384                                       	1406	CAPITAL FEDERAL               	                    	Propia actividad    	mesadeentrada@suetra-tabacos.com.ar	www.suetra-tabacos.com.ar
120801	OBRA SOCIAL DE TRABAJADORES DE LAS COMUNICACIONES                                                                                                                                                       	OSTRAC            	CHACABUCO 140                                     	1069	CAPITAL FEDERAL               	                    	Propia actividad    	institucional@aatrac,org.ar	www.aatrac.org.ar
121309	OBRA SOCIAL DEL PERSONAL DE LA INDUSTRIA DEL TRACTOR                                                                                                                                                    	OSPIT             	SAN LORENZO 2181                                  	2000	SANTA FE                      	                    	Propia actividad    	juareznestor@hotmail.com
121606	OBRA SOCIAL CONDUCTORES DE TRANSPORTE COLECTIVO DE PASAJEROS                                                                                                                                            	                  	MORENO 2969                                       	1209	CAPITAL FEDERAL               	INT 109.183,155,117,	Propia actividad
122401	OBRA SOCIAL DE  EMPLEADOS DE LA INDUSTRIA DEL VIDRIO                                                                                                                                                    	OSEIV             	CARABOBO 217                                      	1406	CAPITAL FEDERAL               	                    	Propia actividad    	oseiv.vidrio@hotmail.com
123404	OBRA SOCIAL DEL PERSONAL DE PRENSA DE ROSARIO                                                                                                                                                           	OSPRO             	JUAN MANUEL DE ROSAS 958                          	2000	SANTA FE                      	                    	Propia actividad    	ospro@arnet.com.ar
125509	OBRA SOCIAL DE LA FEDERACION ARGENTINA DEL TRABAJADOR  DE LAS UNIVERSIDADES NACIONALES                                                                                                                  	OSFATUN           	AV BELGRANO 3768 4TO. PISO                        	1210	CAPITAL FEDERAL               	0-800-666--5173     	Propia actividad    	info@osfatun.com.ar	www.osfatun.com.ar
126007	OBRA SOCIAL DE LA FEDERACION GREMIAL DEL PERSONAL DE  LA INDUSTRIA DE LA CARNE Y SUS DERIVADOS                                                                                                          	                  	HIPOLITO YRIGOYEN 746                             	1086	CAPITAL FEDERAL               	0800-222-7938       	Cualquier actividad 		www.obrasocialdelacarne.org.ar
126106	OBRA SOCIAL PARA LOS TRABAJADORES DE LA EDUCACION PRIVADA                                                                                                                                               	OSTEP             	SALTA 534                                         	1074	CAPITAL FEDERAL               	                    	Propia actividad    	info@ostep.com.ar	www.ostepdigital.com
126205	OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES                                                                                                                                          	OSECAC            	MORENO 648/50                                     	1091	CAPITAL FEDERAL               	0800-666-0400       	Propia actividad    		www.osecac.org.ar
126304	OBRA SOCIAL SERVICIOS SOCIALES BANCARIOS                                                                                                                                                                	OSBA              	25 DE MAYO 182                                    	1002	CAPITAL FEDERAL               	0800-555-6722       	Propia actividad    	lumassetti@osssb.com.ar
126908	OBRA SOCIAL DE LOS MEDICOS DE LA CIUDAD DE BUENOS AIRES                                                                                                                                                 	OSMEDICA          	MARCELO T. DE ALVEAR 867/871                      	1058	CAPITAL FEDERAL               	0800-999-5396       	Propia actividad    	obrasocial@osmedica.com.ar	www.osmedica.com.ar
127109	OBRA SOCIAL DEL PERSONAL DE TELECOMUNICACIONES SINDICATO BUENOS AIRES                                                                                                                                   	OSPETELCO         	24 DE NOVIEMBRE 40                                	1015	CAPITAL FEDERAL               	0800-999-6241       	Propia actividad    	info@ospetelco.org	www.ospetelco.org
127307	OBRA SOCIAL DE LOS TRABAJADORES VIALES Y AFINES DE LA REPUBLICA ARGENTINA                                                                                                                               	                  	MEXICO 1399 P.B ESQUINA SAN JOSE                  	1097	CAPITAL FEDERAL               	                    	Propia actividad    	info@vialsalud.com.ar	www.ostv.com.ar
127802	OBRA SOCIAL DE LUZ Y FUERZA DE LA PATAGONIA                                                                                                                                                             	OSLYF PATAGONIA   	BALDOMERO CARRASCO Nº 60                          	9100	CHUBUT                        	0800-666-4363       	Propia actividad    	info@generarsalud.com.ar	www.generarsalud.com.ar
127901	OBRA SOCIAL DE PETROLEROS PRIVADOS                                                                                                                                                                      	OS.PE.PRI         	SANTA CRUZ 275                                    	8300	NEUQUEN                       	                    	Propia actividad    	afiliaciones@ospepri.org.ar	www.ospepri.org.ar
200400	OBRA SOCIAL DEL PERSONAL DE LA EMPRESA NACIONAL DE CORREOS Y TELEGRAFOS S.A. Y DE LAS  COMUNICACIONES DE LA REPULICA ARGENTINA                                                                          	OSPEC             	MAIPU 39                                          	1084	CAPITAL FEDERAL               	                    	Propia actividad    	info@ospec.com.ar
300704	OBRA SOCIAL CERAS JOHNSON                                                                                                                                                                               	JOHNSON           	URUGUAY 7286                                      	1609	BUENOS AIRES                  	                    	Propia actividad    	vguercio@scj.com	www.oscj.com.ar
303703	OBRA SOCIAL DEL PERSONAL DE PBBPOLISUR  SRL DE  BAHIA BLANCA                                                                                                                                            	                  	LAS HERAS 95                                      	8000	BUENOS AIRES                  	                    	Propia actividad    	info@ospbb.com.ar
400107	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LAS EMPRESAS DE LA ALIMENTACION Y DEMAS ACTIVIDADES EMPRESARIAS                                                                                                	OPDEA             	BERNANDO DE IRIGOYEN 540 PISO 2#                  	1072	CAPITAL FEDERAL               	0800-999-6733       	Propia actividad    	info@opdea.org.ar	www.opdea.org
400404	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA CERVECERA Y MALTERA                                                                                                                               	SERVESALUD        	RODRIGUEZ PEÑA 1474                               	1021	CAPITAL FEDERAL               	0800-362-7398       	Propia actividad    	sedece@servesalud.com.ar
401209	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE LA INDUSTRIA METALURGICA  Y DEMAS ACTIVIDADES EMPRESARIAS                                                                                                      	OSIM              	MONTEVIDEO 373 PISO 4º                            	1019	CAPITAL FEDERAL               	                    	Propia actividad    	osim@osim.com.ar	www.osim.com.ar
401704	OBRA SOCIAL  DE EMPRESARIOS, PROFESIONALES Y MONOTRIBUTISTAS                                                                                                                                            	OSDEPYM           	RECONQUISTA 458 PISO 2                            	1003	CAPITAL FEDERAL               	                    	Propia actividad    	info@osdepym.com.ar	www.osdepym.com.ar
401902	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE PERFUMERIA E.W. HOPE                                                                                                                                           	WHOPE             	AVDA. CORDOBA 1345 PISO 5                         	1055	CAPITAL FEDERAL               	0800-333-34673      	Propia actividad    	obrasocial@whope.com.ar	www.whope.com.ar
402004	OBRA SOCIAL DEL PERSONAL DE DIRECCION DE SANIDAD LUIS PASTEUR                                                                                                                                           	OSLPASTEUR        	CALLAO 764/66                                     	1023	CAPITAL FEDERAL               	                    	Propia actividad    	info@oslpasteur.com.ar	www.oslpasteur.com.ar
402103	OBRA SOCIAL ASOCIACION DEL PERSONAL DE DIRECCION DE LA INDUSTRIA SIDERURGICA                                                                                                                            	APDIS             	GORRITI 6046 - 5° PISO - OF 506/507/508           	1414	CAPITAL FEDERAL               	                    	Propia actividad    	info@apdis.com.ar	www.apdis.com.ar
402202	OBRA SOCIAL MUTUALIDAD INDUSTRIAL TEXTIL ARGENTINA                                                                                                                                                      	OSMITA            	PARAGUAY 610 PISO 6                               	1057	CAPITAL FEDERAL               	0800-888-6482       	Propia actividad    	info@osmita.com.ar	www.osmita.com.ar
402301	OBRA SOCIAL ASOCIACION DEL PERSONAL SUPERIOR DE LA ORGANIZACION TECHINT                                                                                                                                 	APSOT             	CORDOBA 320 PISO 2                                	1054	CAPITAL FEDERAL               	0800-122-8778       	Propia actividad    	apsot.consultas@apsot.com	www.apsot.com
402400	OBRA SOCIAL PARA EL PERSONAL DE DIRECCION DE LA INDUSTRIA VITIVINICOLA Y AFINES                                                                                                                         	OSEDEIV           	AV. CASEROS 3563 1º PISO                          	1263	CAPITAL FEDERAL               	                    	Propia actividad    	osedeiv@osedeiv.com.ar	www.osedeiv.com.ar
601104	ASOCIACION GUALEGUAYCHU DE OBRAS SOCIALES                                                                                                                                                               	                  	OLEGARIO V. ANDRADE 1057                          	2820	ENTRE RIOS                    	03446-4-24133       	Cualquier actividad 	sanatagos@yahoo.com.ar	REVERTIDA LA SITUACION DE CRISIS RES1810/13 3/5/13
602305	ASOCIACION DE OBRAS SOCIALES DE ROSARIO                                                                                                                                                                 	ADOS ROSARIO      	MITRE 1174                                        	2000	SANTA FE                      	                    	Cualquier actividad
800501	OBRA SOCIAL ACEROS PARANA                                                                                                                                                                               	                  	AVDA. MORENO 187                                  	2900	BUENOS AIRES                  	                    	Propia actividad    	info@osap.org.ar	www.osap.org.ar
